@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
140,'2017/11/02 23:30:10:897',2,345.359985,-4.07,57.07,0,0.96,0.08,0.58,0
141,'2017/11/02 23:30:10:953',2,345.359985,-4.13,57.049999,0,0.96,0.08,0.58,0
142,'2017/11/02 23:30:11:015',2,345.399994,-4.19,57.09,0,0.96,0.08,0.58,0
143,'2017/11/02 23:30:11:103',2,345.410004,-4.2,57.080002,0,0.96,0.08,0.58,0
144,'2017/11/02 23:30:11:135',2,345.410004,-4.19,57.130001,0,0.96,0.08,0.58,0
145,'2017/11/02 23:30:11:191',2,345.450012,-4.25,57.18,0,0.96,0.08,0.58,0
146,'2017/11/02 23:30:11:249',2,345.48999,-4.23,57.290001,0,0.96,0.08,0.58,0
147,'2017/11/02 23:30:11:316',2,345.51001,-4.24,57.43,0,0.96,0.08,0.58,0
148,'2017/11/02 23:30:11:392',2,345.630005,-4.29,57.389999,0,0.96,0.08,0.58,0
149,'2017/11/02 23:30:11:435',2,345.700012,-4.22,57.490002,0,0.96,0.08,0.58,0
150,'2017/11/02 23:30:11:496',2,345.730011,-4.27,57.5,0,0.96,0.08,0.58,0
151,'2017/11/02 23:30:11:550',2,345.75,-4.27,57.529999,0,0.96,0.08,0.58,0
152,'2017/11/02 23:30:11:617',2,345.720001,-4.29,57.580002,0,0.96,0.08,0.58,0
153,'2017/11/02 23:30:11:691',2,345.700012,-4.26,57.619999,0,0.96,0.08,0.58,0
154,'2017/11/02 23:30:11:757',2,345.640015,-4.3,57.689999,0,0.96,0.08,0.58,0
155,'2017/11/02 23:30:11:833',2,345.670013,-4.37,57.830002,0,0.96,0.08,0.58,0
